year,Kcal_Supply_Target,Production,Protein_Supply_Target,Stock Variation,Total_Supply,Shock_Index_Pct,Kcal_Baseline_Forecast,Kcal_Deviation_Target,Kcal_Impact_Prediction,Kcal_Total_Forecast
2012-01-01,2356.5099999999998,177663.0,65.14,-3385.0,181048.0,7.751338884092185,2448.4988605472076,-91.98886054720788,-34.4176181010554,2414.0812424461524
2013-01-01,2366.24,193427.0,67.15,-2939.0,196366.0,1.4496164428082325,2410.4828142193314,-44.24281421933165,20.39346606846285,2430.876280287794
2014-01-01,2354.61,194981.0,64.96,1336.0,193645.0,8.460739693341,2414.5039112148793,-59.893911214879154,-40.587840263004345,2373.916070951875
2015-01-01,2379.4,197487.0,67.78,-3469.0,200956.0,-1.3856777649898677,2409.697605145175,-30.297605145175112,45.054271255767475,2454.751876400943
2016-01-01,2437.69,210894.0,66.56,-8.0,210902.0,3.7754654135144117,2419.942517223246,17.74748277675417,0.16371065051560407,2420.1062278737613
2017-01-01,2522.92,223659.0,69.92,1678.0,221981.0,4.9493421445490515,2444.0319050824933,78.8880949175068,-10.046427436154751,2433.9854776463385
2018-01-01,2368.96,208057.0,68.8,-1419.0,209476.0,5.253150752482205,2479.2547310774094,-110.29473107740932,-12.688892148938173,2466.5658389284713
2019-01-01,2526.53,212340.0,70.93,-2760.0,215100.0,-5.633365017726744,2415.627999994724,110.90200000527602,81.99978031378217,2497.6277803085063
2020-01-01,2520.04,231538.0,72.19,3993.0,227545.0,2.68479443945846,2480.746628318306,39.29337168169377,9.65014219637263,2490.396770514679
2021-01-01,2587.95,250059.0,73.94,7238.0,242821.0,5.785681078568117,2478.0645194281615,109.88548057183834,-17.320731268778694,2460.743788159383
2022-01-01,2466.22,247713.0,72.78,1599.0,246114.0,6.713397349974737,2506.1295448102424,-39.90954481024255,-25.389816365954054,2480.739728444288
2023-01-01,2513.75,256871.0,73.32,6468.0,250403.0,1.3561430024586096,2455.8224392328507,57.927560767149316,21.20647880495744,2477.028918037808
