year,Export quantity,Import quantity,Production,Stock Variation,Kcal_Supply_Target,Protein_Supply_Target,Total_Supply,Shock_Index_Pct,Kcal_Baseline_Forecast,Kcal_Deviation_Target,Kcal_Impact_Prediction,Kcal_Total_Forecast
2012-01-01,9974.0,6228.0,177663.0,-3385.0,27.40127906976744,0.7574418604651163,177302.0,6.407834864410722,28.607885624533175,-1.2066065547657345,-0.22892256969320646,28.378963054839968
2013-01-01,11995.0,6201.0,193427.0,-2939.0,27.51441860465116,0.7808139534883721,190572.0,2.1825202432066426,28.011910164121236,-0.4974915594700775,0.18819828058975466,28.20010844471099
2014-01-01,9637.0,8003.0,194981.0,1336.0,27.70129411764706,0.764235294117647,192011.0,7.484405139253925,28.067792826225794,-0.36649870857873523,-0.33520102436222,27.732591801863574
2015-01-01,10704.0,7855.0,197487.0,-3469.0,27.992941176470588,0.7974117647058824,198107.0,0.7550951871208689,28.16009567296366,-0.16715449649307246,0.32911293582554135,28.489208608789202
2016-01-01,9170.0,8646.0,210894.0,-8.0,28.678705882352943,0.7830588235294118,210378.0,3.1748181093791406,28.30414800673694,0.3745578756160022,0.09023915404454852,28.39438716078149
2017-01-01,8689.0,10187.0,223659.0,1678.0,29.336279069767443,0.8130232558139535,223479.0,6.194127415992368,28.64286565642006,0.6934134133473826,-0.2078254821180655,28.435040174301996
2018-01-01,13074.0,10608.0,208057.0,-1419.0,27.870117647058823,0.8094117647058823,207010.0,6.22736217665345,28.967658756189014,-1.0975411091301908,-0.21110640031438932,28.756552355874625
2019-01-01,11353.0,10782.0,212340.0,-2760.0,29.723882352941178,0.8344705882352942,214529.0,-7.369372513748496,28.243482159032503,1.4804001939086753,1.1311561395378744,29.37463829857038
2020-01-01,8683.0,13161.0,231538.0,3993.0,29.647529411764705,0.8492941176470588,232023.0,3.632191681561281,29.15910645240304,0.4884229593616638,0.04508747412746733,29.204193926530507
2021-01-01,9693.0,13848.0,250059.0,7238.0,30.092441860465115,0.859767441860465,246976.0,8.154608467852832,29.121393679261104,0.9710481812040115,-0.40136314655892924,28.720030532702175
2022-01-01,11269.0,11492.0,247713.0,1599.0,28.676976744186046,0.8462790697674418,246337.0,6.444619714424871,29.341147915146813,-0.6641711709607669,-0.2325539508543708,29.108593964292442
2023-01-01,12322.0,11739.0,256871.0,6468.0,29.2296511627907,0.8525581395348837,249820.0,-0.25872959315884625,28.64201158852936,0.5876395742613383,0.42919718807649004,29.07120877660585
